mav_pos_x,mav_pos_y,mav_pos_z,mav_vel_x,mav_vel_y,mav_vel_z,mav_yaw,mav_pitch,mav_roll,delta_x,delta_y,delta_z,init_pos_x,init_pos_y,init_pos_z,control_x,control_y,control_z,index_image,timestamp,encoding_1,encoding_2,encoding_3,encoding_4,encoding_5,encoding_6,encoding_7,encoding_8,encoding_9,encoding_10,encoding_11,encoding_12,encoding_13,encoding_14,encoding_15,encoding_16,encoding_17,encoding_18,encoding_19,encoding_20,encoding_21,encoding_22,encoding_23,encoding_24,encoding_25,encoding_26,encoding_27,encoding_28,encoding_29,encoding_30,encoding_31,encoding_32
0.2437717467546463,0.7305023670196533,1.0723730325698853,0.214174344759127,-0.009539007839702893,-0.2737993718272774,0.03785709440052703,0.012849086957980217,0.016680918611653692,0.33674176633358,0.030708003044128462,-0.3186413288116454,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.11866189,-0.010287322,0.11510548,2.0,1740111761.4797943,-0.02881755866110325,0.053727708756923676,0.11966143548488617,0.2121776044368744,-0.0914677232503891,-0.037234723567962646,0.06810285151004791,0.24839037656784058,0.1004302129149437,0.07832789421081543,0.12552645802497864,0.2546132504940033,0.13895784318447113,-0.045077867805957794,0.12435327470302582,-0.0007902863435447216,0.11990579962730408,0.08832468092441559,-0.10578276216983795,0.1398945450782776,-0.033444616943597794,-0.22343817353248596,-0.14711597561836243,0.06204047054052353,-0.015926510095596313,-0.08115443587303162,0.22223562002182007,-0.03442426025867462,-0.029584772884845734,0.22322732210159302,-0.06494934856891632,-0.10320843011140823
0.2572229504585266,0.730287492275238,1.055379867553711,0.22720258472680355,-0.0006747968325650604,-0.2654245965266433,0.04128224827487004,0.008074703566194661,0.022456309038579585,0.3437717467546463,0.030502367019653365,-0.32762696743011466,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.117082186,-0.009916723,0.114965655,3.0,1740111761.5312517,-0.03554099053144455,0.053426340222358704,0.12483757734298706,0.2302210032939911,-0.102323979139328,-0.0360376350581646,0.07391048222780228,0.2636660039424896,0.09751792252063751,0.08031141757965088,0.13300509750843048,0.2671203911304474,0.14596760272979736,-0.04807979613542557,0.12659133970737457,-0.0027133317198604345,0.12169821560382843,0.095986008644104,-0.11464332044124603,0.15293222665786743,-0.03178220987319946,-0.23413695394992828,-0.1540364772081375,0.0671658143401146,-0.028141677379608154,-0.08936871588230133,0.2318595051765442,-0.03762070834636688,-0.03033486381173134,0.23409178853034973,-0.06718301773071289,-0.11869560182094574
0.2661260664463043,0.729803740978241,1.043319821357727,0.22720258472680355,-0.0006747968325650604,-0.2654245965266433,0.033820435246490026,0.003268653064310683,0.023285786824005863,0.3572229504585266,0.03028749227523808,-0.344620132446289,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.1533773,-0.0068689287,0.12348703,4.0,1740111761.5871317,-0.05467957258224487,0.04655345901846886,0.14087292551994324,0.28110432624816895,-0.13708952069282532,-0.020493321120738983,0.10185571014881134,0.3107014000415802,0.08569499105215073,0.08773952722549438,0.15178628265857697,0.31021809577941895,0.17291978001594543,-0.051108717918395996,0.13164502382278442,0.004188863560557365,0.1218668669462204,0.12110672891139984,-0.14106309413909912,0.20147857069969177,-0.017449617385864258,-0.2552286684513092,-0.17815232276916504,0.08088665455579758,-0.058865927159786224,-0.11637790501117706,0.251742422580719,-0.04234781861305237,-0.01679711788892746,0.28291958570480347,-0.08290767669677734,-0.17765623331069946
0.27647602558135986,0.7305638790130615,1.0338959693908691,0.18237244411610504,-0.003211238739812211,-0.2319991897431009,0.036982881374961064,0.00817805322562929,0.0282937608868202,0.3661260664463043,0.02980374097824101,-0.35668017864227286,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.14573333,-0.00623098,0.12665047,5.0,1740111761.628175,-0.05373549461364746,0.04651873931288719,0.13546888530254364,0.269520103931427,-0.13124465942382812,-0.021269138902425766,0.09780972450971603,0.2994265556335449,0.08314509689807892,0.08387133479118347,0.14561954140663147,0.29833894968032837,0.166639506816864,-0.04832678288221359,0.12577778100967407,0.0031732700299471617,0.11756686866283417,0.11561611294746399,-0.13359010219573975,0.19246965646743774,-0.015899281948804855,-0.2465628981590271,-0.1714777797460556,0.07646771520376205,-0.056756988167762756,-0.11170007288455963,0.24358920753002167,-0.039094969630241394,-0.015993285924196243,0.2730196714401245,-0.07830321788787842,-0.17073564231395721
0.27930623292922974,0.7306209802627563,1.0310739278793335,0.18237244411610504,-0.003211238739812211,-0.2319991897431009,0.038492075739537515,0.007993996562593293,0.028811842929144023,0.37647602558135984,0.030563879013061568,-0.36610403060913077,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.14616641,-0.005486831,0.13342683,6.0,1740111761.6589887,-0.06043892353773117,0.043596718460321426,0.13849890232086182,0.281515508890152,-0.14010286331176758,-0.015595750883221626,0.10708001255989075,0.3100146949291229,0.07745544612407684,0.08514603972434998,0.14992767572402954,0.30910924077033997,0.1743551790714264,-0.04736623913049698,0.12470336258411407,0.007348509505391121,0.1142803281545639,0.1219625324010849,-0.1398313045501709,0.20632404088974,-0.010098380036652088,-0.24918895959854126,-0.17749831080436707,0.07964879274368286,-0.06533147394657135,-0.11858510971069336,0.24679869413375854,-0.039095863699913025,-0.008419711142778397,0.28701770305633545,-0.08123321831226349,-0.1895330250263214
0.2840336859226227,0.7302823662757874,1.0256808996200562,0.18237244411610504,-0.003211238739812211,-0.2319991897431009,0.0360245283656911,0.002570787064760199,0.02592178720210952,0.3793062329292297,0.030620980262756392,-0.3689260721206664,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.14543182,-0.0037771687,0.1422934,7.0,1740111761.6913378,-0.06356088817119598,0.042800579220056534,0.1299627423286438,0.2694523334503174,-0.13535363972187042,-0.016792654991149902,0.10356895625591278,0.297109454870224,0.06989316642284393,0.07827684283256531,0.14225125312805176,0.2943130135536194,0.16822141408920288,-0.042926084250211716,0.11323419213294983,0.005545012652873993,0.10572627186775208,0.1161508858203888,-0.13277727365493774,0.1973932981491089,-0.006267176009714603,-0.2376079261302948,-0.16910913586616516,0.074878990650177,-0.06655825674533844,-0.11379584670066833,0.23715899884700775,-0.035501763224601746,-0.004595082253217697,0.27513331174850464,-0.07286337018013,-0.1869240403175354
0.29271507263183594,0.7311604022979736,1.0206096172332764,0.17523497046054645,0.006077121514225151,-0.14924421089629406,0.036385883702150464,0.013894657894080986,0.033231345200565324,0.38403368592262266,0.030282366275787398,-0.37431910037994376,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.159803,-0.010905307,0.13152727,8.0,1740111761.7308168,-0.07389135658740997,0.037657231092453,0.13627241551876068,0.2966471016407013,-0.15497295558452606,-0.00807117111980915,0.12100443243980408,0.3217369318008423,0.06359852850437164,0.08225096762180328,0.15069830417633057,0.31964296102523804,0.18428418040275574,-0.045737769454717636,0.11491350829601288,0.012537259608507156,0.10510385036468506,0.13060706853866577,-0.15019167959690094,0.22538220882415771,-4.442967474460602e-05,-0.24556389451026917,-0.18254868686199188,0.08320638537406921,-0.078516885638237,-0.1275014579296112,0.2469642162322998,-0.038948118686676025,0.006643332540988922,0.30337095260620117,-0.0816609114408493,-0.22085152566432953
0.2952616810798645,0.731317400932312,1.019288182258606,0.17523497046054645,0.006077121514225151,-0.14924421089629406,0.03531012353536597,0.01488364636211966,0.03348135809566625,0.3927150726318359,0.031160402297973677,-0.37939038276672354,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.16778028,-0.012439657,0.12233722,9.0,1740111761.7640262,-0.07849503308534622,0.0334920734167099,0.13811784982681274,0.30660951137542725,-0.16455861926078796,-0.0004508458077907562,0.1309758871793747,0.33310753107070923,0.05877607315778732,0.08322753012180328,0.15175729990005493,0.33052363991737366,0.19192303717136383,-0.04377709701657295,0.1134236603975296,0.01869255304336548,0.10299034416675568,0.13686668872833252,-0.15769512951374054,0.23883435130119324,0.007240624167025089,-0.2445669174194336,-0.18819081783294678,0.08607325702905655,-0.08326300978660583,-0.13424937427043915,0.24714449048042297,-0.03829997777938843,0.01660279557108879,0.3180181384086609,-0.08787904679775238,-0.23998700082302094
0.308468222618103,0.7320139408111572,1.0161792039871216,0.12338438089881214,0.0031114744408641103,-0.05049621522680039,0.030586308633686696,0.02140850239297453,0.03248376551150748,0.3952616810798645,0.031317400932312056,-0.38071181774139395,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.16778028,-0.012439657,0.12233722,10.0,1740111761.855021,-0.07849503308534622,0.0334920734167099,0.13811784982681274,0.30660951137542725,-0.16455861926078796,-0.0004508458077907562,0.1309758871793747,0.33310753107070923,0.05877607315778732,0.08322753012180328,0.15175729990005493,0.33052363991737366,0.19192303717136383,-0.04377709701657295,0.1134236603975296,0.01869255304336548,0.10299034416675568,0.13686668872833252,-0.15769512951374054,0.23883435130119324,0.007240624167025089,-0.2445669174194336,-0.18819081783294678,0.08607325702905655,-0.08326300978660583,-0.13424937427043915,0.24714449048042297,-0.03829997777938843,0.01660279557108879,0.3180181384086609,-0.08787904679775238,-0.23998700082302094
0.31200525164604187,0.732215404510498,1.016539454460144,0.12338438089881214,0.0031114744408641103,-0.05049621522680039,0.03206350534311995,0.021094863905372897,0.0345188779607927,0.408468222618103,0.03201394081115727,-0.38382079601287833,0.22918397188186646,0.7308911681175232,1.0906283855438232,-0.23749352,-0.008064352,0.10354951,11.0,1740111761.8920736,-0.09073976427316666,0.020266074687242508,0.1451704055070877,0.34097209572792053,-0.19605529308319092,0.02494949847459793,0.163263738155365,0.37064751982688904,0.045928750187158585,0.08706803619861603,0.15367819368839264,0.3686978220939636,0.2175140082836151,-0.038825541734695435,0.11214779317378998,0.04047635942697525,0.09937137365341187,0.1591709405183792,-0.1823510378599167,0.28312379121780396,0.027960196137428284,-0.2418699860572815,-0.20746658742427826,0.09545008093118668,-0.09678821265697479,-0.1568092256784439,0.24918709695339203,-0.036589279770851135,0.04905129224061966,0.36682572960853577,-0.1095813512802124,-0.3016015589237213
